,Full_Address,Percent_Increase,Rental price (per month) BEFORE the increase,Rental price (per month) AFTER the increase,Latitude,Longitude
558,"1030 Somera Rd, Los Angeles, CA, 90077",42,49000,70000,34.0898507,-118.4576682
559,"undisclosed address, Pacific Palisades, CA, 90272",107,8900,18500,34.0845245,-118.5447787
560,"2227 Pearl St, Santa Monica, CA, 90405",16,7200,8400,34.0185402,-118.464697
561,"2390 Nalin Dr., Encino, CA, 90077",19,8350,9950,34.119091,-118.4661501
562,"10290 Seabury Ln, Los Angeles, CA, 90077",77,10995,19500,34.1095874,-118.4456877
563,"NOT PROVIDED, NOT PROVIDED, CA, 90046",30,11500,15000,34.1147313,-118.3637264
564,"2071 Paramount Dr, Los Angeles, CA, 90068",29,13500,17500,34.107885,-118.3406043
565,"10824 Chalon Rd, Los Angeles, CA, 90077",20,65000,78000,34.0818959,-118.4550989
566,"20300 Oxnard St, Woodland Hills, CA, 91367",11,7250,8050,34.1778572,-118.5755503
567,"6557 Laramie Ave, Winnetka, CA, 91306",15,6500,7500,34.1889276,-118.5733857
568,"1524 N Sierra Bonita Ave, Los Angeles , CA, 90046",30,15000,19500,34.09889709999999,-118.3536597
569,"6248 Teesdale Ave, North Hollywood, CA, 91606",11,1750,1950,34.1845007,-118.4081571
570,"110 N Barrington Ave, Los Angeles, CA, 90049",25,12000,15000,34.065732,-118.4704712
571,"449 North Bonhill Road, Los Angeles, CA, 90049",60,12500,20000,34.067252,-118.4822445
572,"Undisclosed but IDed as 10290 Seabury Lane, Los Angeles, CA, 90077",77,10995,19500,34.1095874,-118.4456877
573,"1250 S Beverly Glen Blvd APT 107, Los Angeles, CA, 90024",19,4195,5000,34.065599,-118.4274043
574,"2414 N Millstream Ln, Orange, CA, 92865",28,3500,4500,33.828496,-117.864538
575,"550 San Juan Ave, Venice, CA, 90291",16,30000,35000,33.9927161,-118.4674404
576,"7320 Balboa Blvd, Van Nuys, CA, 91406",11,2950,3295,34.2037153,-118.5008331
577,"2470 Venus Drive, Los angeles, CA, 90046",14,13999,15999,34.1158873,-118.3678801
578,"1252 Masselin Ave, Los Angeles, CA, 90019",21,6500,7900,34.0518763,-118.3570689
579,"10767 Oregon Ave, Culver City , CA, 90232",8,8500,9250,34.0151798,-118.4064395
580,"1318 S Roxbury Dr #111, Los Angeles, CA, 90035",27,5490,7000,34.0554316,-118.4027326
581,"15705 Gun Tree Dr, Hacienda Heights, CA, 91745",38,3950,5490,33.9773533,-117.9745412
582,"1318 South Roxbury Dr. #111, Los Angeles, CA, 90035",52,4590,7000,34.0554316,-118.4027326
583,"10228 Encino Ave, Northridge, CA, 91325",55,3800,5900,34.2564032,-118.5151568
584,"2227 Pearl St, Santa Monica, CA, 90405",16,7200,8400,34.0185402,-118.464697
585,"316 Market St, Venice, CA 90291, Venice, CA, 90291",37,8000,11000,33.9899504,-118.469254
586,"9907 National Blvd, Los Angeles, CA, 90034",25,4000,5000,34.030978,-118.4021845
587,"709 E Manchester Blvd, Inglewood, CA, 90301",30,3825,5000,33.9600888,-118.3459894
588,"225 Sherman Canal Ct, Venice, CA, 90291",36,11000,15000,33.9832233,-118.4661853
589,"8590 Hollywood Boulevard, Los Angeles, CA, 90069",120,25000,55000,34.0990744,-118.3767214
590,"1023 S Stanley Ave, Los Angeles, CA, 90019",12,5800,6500,34.0568092,-118.3586018
591,"2333 Grand Canal Walk, Venice, CA, 90291",50,11000,16500,33.9837324,-118.4681662
592,"Undisclosed address, Tarzana, CA, 91356",50,16000,24000,34.1662848,-118.5447787
593,"700 Main St UNIT 25, Venice, CA, 90291",36,11000,15000,33.9936417,-118.4750068
594,"15236 Hesby St, Sherman Oaks, CA, 91403",95,3300,6450,34.1619851,-118.4653426
595,"3138 Drew Street, Los Angeles, CA, 90065",30,6372,8333,34.1179618,-118.2456304
596,"4952 N Figueroa St APT F, Los Angeles, CA, 90042",34,2888,3888,34.10385309999999,-118.2026142
597,"19500 Oxnard St, Tarzana, CA, 91356",18,5500,6500,34.1777849,-118.558271
598,"23863 Friar St, Woodland Hills, CA, 91367",36,3300,4500,34.1856473,-118.6461913
599,"18821 Kirkcolm Ln, Porter Ranch, CA, 91326",22,3950,4850,34.292549,-118.5434521
600,"32802 Pacific Coast Hwy, Malibu, CA, 90265",25,40000,50000,34.0398408,-118.8901041
601,"5344 Leghorn Ave, Van Nuys, CA, 91401",80,20000,36000,34.168064,-118.415651
602,"256 N Rafael Walk, Long Beach, CA, 90803",130,6500,15000,33.7531047,-118.1165874
603,"1330 N Harper Ave #100, Los Angeles, CA, 90046",98,3495,6950,34.0951947,-118.3684669
604,"729 Raymond Ave, Santa Monica, CA, 90405",15,6950,8000,34.0048873,-118.4749552
605,"5625 W 83rd St, Los Angeles, CA, 90045",11,4495,4995,33.9637136,-118.3798503
606,"5358 Baza Ave, Woodland Hills, CA, 91364",22,4495,5495,34.1674405,-118.6005549
607,"822 S Plymouth Blvd #2, Los Angeles, CA, 90005",13,5900,6700,34.05908,-118.323839
608,"52004 Etiwanda Ave, Tarzana, CA, 91356",12,5795,6500,34.173538,-118.5308321
609,"14729 Otsego Street, Sherman Oaks, CA, 91403",63,18000,29500,34.1633227,-118.4540719
610,"Undisclosed Address (likely 3142 Drew Street), Los Angeles, CA, 90065",13,4400,5000,34.1179861,-118.2453011
611,"6617 S Sherbourne Drive, Los Angeles, CA, 90056",58,10500,16600,33.9790915,-118.3808658
612,"3055 Landa Street, Los Ángeles , CA, 90039",33,9000,12000,34.0954998,-118.2679795
613,"10097 Tujunga Canyon Blvd, Tujunga, CA, 91042",38,1800,2495,34.2498056,-118.2856694
614,"13918, Van Nuys, CA, 91401",42,35000,50000,34.1789379,-118.4338345
615,"5222 Ventura Canyon Ave, Sherman Oaks, CA, 91401",16,18000,21000,34.1655092,-118.4288832
616,"6130 Galahad Rd , Malibu, CA, 90265",30,19000,24750,34.0248567,-118.7984888
617,"3351 N Knoll Dr, Los Angeles, CA, 90068",15,16000,18500,34.1297212,-118.3445912
618,"626 University Ave, Burbank, CA, 91504",39,4299,5999,34.19554230000001,-118.3157929
619,"166 S McCadden Pl, Los Angeles, CA, 90004",21,16500,20000,34.0716475,-118.336769
620,"710 Longfellow Ave, Hermosa Beach, CA, 90254",16,5999,6999,33.8765718,-118.3977494
621,"1516 N Beverly Glen Blvd, Los Angeles, CA, 90077",25,12000,15000,34.098684,-118.4421399
622,"208 Marine Ave, Manhattan Beach, CA, 90266",12,7900,8900,33.8913984,-118.4141915
623,"27553 Country Glen Rd, Agoura Hills, CA, 91301",16,9000,10477,34.1329945,-118.728296
624,"16 Park Ave, venice, CA, 90291",275,7995,30000,33.9915003,-118.4768726
625,"1141 Summit Dr, Beverly Hills, CA, 90210",11,175000,195000,34.0895437,-118.4202345
626,"220 Avenue A, Redondo Beach, CA, 90277",33,7500,10000,33.8274711,-118.3868215
627,"220 Avenue A, Redondo beach, CA, 90277",118,8000,17500,33.8274711,-118.3868215
628,"330 W California Blvd, Pasadena, CA, 91105",3,4750,4900,34.1351461,-118.1574789
629,"5204 Etiwanda Ave, Tarzana, CA, 91356",12,5795,6500,34.1657877,-118.5305831
630,"11633 Chenault St UNIT 202, Los Angeles, CA, 90049",50,4995,7500,34.0578756,-118.4665902
631,"1165 Coldwater Canyon Dr, Beverly Hills, CA, 90210",16,12900,15000,34.095209,-118.4069228
632,"12267 San Vicente Blvd, Los Angeles, CA, 90049",100,29750,59500,34.05153350000001,-118.4781347
633,"1104 Casiano Rd, Los Angeles, CA, 90049",31,9500,12500,34.0809513,-118.4692139
634,"110 N Barrington Ave, Los Angeles, CA, 90049",25,12000,15000,34.065732,-118.4704712
635,"380 Trousdale Pl, Beverly Hills, CA, 90210",76,50000,88000,34.1022875,-118.3945686
636,"11788 Bellagio Rd, Los Angeles, CA, 90049",612,1895,13500,34.0798641,-118.4713713
637,"724 S Gramercy Dr, Los Angeles, CA, 90005",11,5200,5800,34.0588771,-118.3119229
638,"Address not disclosed , Marina Del Rey , CA, 90292",50,11000,16500,33.9802893,-118.4517449
639,"6686 Drexel Ave #2, Los Angeles, CA, 90048",30,5500,7200,34.0692183,-118.3735856
640,"16 Park Ave, Venice, CA, 90291",275,7995,30000,33.9915003,-118.4768726
641,"7135 Hollywood Blvd APT 702, Los Angeles, CA, 90046",9,6950,7600,34.1020617,-118.3465437
642,"536 Quail Dr, Los Angeles, CA, 90065",23,4750,5850,34.1038433,-118.2093154
643,"1270 Boynton St Apt 2, Glendale, CA, 91205",18,2950,3500,34.1301365,-118.2483679
644,"2604 Perkins Cir, Glendale, CA, 91206",21,7000,8500,34.1540421,-118.2092837
645,"1568 Stoddard Ave, Thousand Oaks, CA, 91360",44,9000,13000,34.1999537,-118.8882995
646,"3035 Lake Glen Dr, Beverly Hills, CA, 90210",25,17500,22000,34.128942,-118.4095719
647,"4609 Alla Rd Unit 3, Marina Del Rey, CA, 90292",17,6550,7700,33.985627,-118.4323626
648,"6355 De Soto Ave, Woodland Hills , CA, 91367",94,3534,6890,34.1862148,-118.5910023
649,"5028 Willowcrest Ave, North Hollywood, CA, 91601",23,8500,10500,34.1621262,-118.362425
650,"16 Park Ave, Venice, CA, 90291",275,7995,30000,33.9915003,-118.4768726
651,"1945 Glendon Ave FLOOR 1-ID1279, Los Angeles, CA, 90025",12,3630,4080,34.047422,-118.4338574
652,"10787 Wilshire Blvd #PENTHOUSE, Los Angeles, CA, 90024",12,11995,13500,34.0604248,-118.4392619
653,"108 W 2nd-St, Unit 206, Los Angeles, CA, 90012",23,3250,4000,34.0510122,-118.2450272
654,"2111 Rio Grande, Pomona, CA, 91766",21,3700,4500,34.0325263,-117.751082
655,"1707 Brockton Ave APT 12, Los Angeles, CA, 90025",15,3695,4250,34.0382321,-118.4587963
656,"1536 Blue Jay Way, Los Angeles, CA, 90069",50,80000,120000,34.1004696,-118.3868172
657,"6467 Zuma View Pl #160, Malibu, CA, 90275",44,6800,9800,34.0226286,-118.7950984
658,"715 N Redford Dr , Beverly Hills, CA, 90210",46,37500,55000,34.080718,-118.4073443
659,"7309 North Eaton St, Los Angeles, CA, 90042",33,7495,9995,34.1246989,-118.1964969
660,"8159 Hollywood Boulevard, Los Angeles, CA, 90069",11,225000,250000,34.1007762,-118.3662149
661,"616 North Fuller Ave, Los Angeles, CA, 90036",42,17500,25000,34.082424,-118.3495574
662,"5763 1/2 Clemson St, Los Angeles, CA 90016, Los Angeles , CA, 90016",13,370000,419000,34.0244454,-118.3711242
663,"10518 Woodbridge St, Los Angeles, CA, 91602",54,11000,17000,34.1486339,-118.3598868
664,"11814 Hesby Street, Valley Village, CA, 91607",61,9900,16000,34.1619483,-118.3905639
665,"7962 Oceanus Dr, Los Angeles, CA, 90046",48,13500,19995,34.1122507,-118.3681833
666,"1916 w court st., Los angeles, CA, 90026",50,9995,14995,34.0684012,-118.2670175
667,"Undisclosed address, Baldwin Park, CA, 91706",21,6999,8500,34.0812006,-117.9834738
668,"6760 Gill Way, Los Angeles, CA, 90068",53,6500,9999,34.1193679,-118.3409225
669,"5344 Leghorn Ave, Van Nuys, CA, 91401",80,20000,36000,34.168064,-118.415651
670,"13918 Chandler Blvd, Van Nuys, CA, 91401",42,35000,50000,34.1680389,-118.4362124
671,"4536 Maycrest Ave, Los Angeles, CA, 90036",63,3300,5400,34.0984875,-118.1609515
672,"1211 Goodman Ave, Redondo Beach, CA, 90278",7,6550,7050,33.86512940000001,-118.3847826
673,"6111 San Vicente Blvd, Los Angeles, CA, 90048",115,6950,14950,34.0591805,-118.3638179
674,"1155 Englewild Dr., Glendora, CA, 91741",133,9000,20999,34.1528546,-117.8499916
675,"10824 Chalon Road, LOs Angeles, CA, 90077",20,65000,78000,34.0818959,-118.4550989
676,"724 N Ogden, Los Angeles, CA, 90046",56,16000,25000,34.0845962,-118.3591327
677,"15326 Hesby St, Sherman Oaks, CA, 91403",95,3300,6450,34.1621455,-118.466172
678,"3577 Thorndale Rd, Pasadena, CA, 91107",19,4600,5500,34.1407373,-118.0770646
679,"10023 Westwanda Drive, Beverly Hills, CA, 90210",17,16950,19950,34.11127159999999,-118.438279
680,"10941 Cardamine Pl, Tujunga, Other, 91042",241,2900,9900,34.2679854,-118.2966548
681,"705 Chaucer Rd, San Marino, CA, 91108",13,10500,11900,34.1338705,-118.1038161
682,"10824 Chalon Road, Los Angeles, CA, 90077",-16,78000,65000,34.0818959,-118.4550989
683,"2075 Minoru Dr, Altadena, CA, 91001",14,6800,7800,34.1807111,-118.1102333
684,"5028 Willowcrest Ave, North Hollywood, CA, 91601",23,8500,10500,34.1621262,-118.362425
685,"1901 N Catalina St, Los Feliz, CA, 90027",124,8700,19500,34.1055592,-118.2953678
686,"1235 Highland Oaks Dr, Arcadia, CA, 91006",13,5495,6250,34.1541996,-118.0291553
687,"15333 Lemay St., Van Nuys, CA, 91406",60,8000,12800,34.1923305,-118.4674404
688,"12354 Tiara St, Valley Village, CA, 91607",8,15900,17200,34.1781352,-118.4025722
689,"420 S Sunset Canyon Dr, Burbank, CA, 91501",97,7000,13800,34.1899507,-118.2925779
690,"4968 Reforma Rd, Woodland Hills, CA, 91364",10,9995,11000,34.1598952,-118.6188093
691,"20955 Marmora St, Woodland Hills, CA, 91364",54,5500,8500,34.1503005,-118.5895092
692,"15335 Lemay St, Lake Balboa, CA, 91406",60,6000,9600,34.1923005,-118.4674508
694,"2181 Hillsbury Rd, Westlake Village, CA, 91361",288,8500,33000,34.1420304,-118.8382787
695,"726 N Van Ness Ave #103, Los Angeles, CA, 90038",244,1191,4100,34.0843767,-118.3154143
696,"7566 West Sunset Boulevard, Unit 423PHW, Los Angeles, CA, 90046",16,8332,9700,34.09787,-118.35452
697,"4335 Jubilo Dr, Tarzana, CA, 91356",32,12500,16500,34.1504102,-118.5422659
698,"801 S Grand Ave APT 2010, Los Angeles, CA, 90017",54,5500,8500,34.045583,-118.2587411
699,"10798 Lindbrook Dr, Los Angeles, CA, 90024",69,14750,25000,34.0607412,-118.4398282
700,"1049 S Hayworth Ave, Los Angeles, CA, 90035",41,5995,8500,34.0569651,-118.3658497
701,"1537 Wildwood Dr, Eagle Rock, CA, 90041",57,7300,11500,34.1303193,-118.1996897
702,"6445 Deep Dell Pl, Los Angeles, CA, 90068",26,9500,11995,34.115189,-118.3301072
703,"240 El Camino Dr, Beverly Hills, CA, 90212",137,13500,32000,34.0633427,-118.3999024
704,"1304 The Strand #C, Manhattan Beach, CA, 90266",10,7500,8250,33.8859351,-118.412361
705,"2844 Ashmont Ave, Arcadia, CA, 91006",34,3300,4449,34.1132147,-118.006431
706,"16679 Calneva Dr, Encino, CA, 91436",23,11900,14750,34.137071,-118.4961777
707,"1410 Coronado Ter, Los Angeles, CA, 90026",10,20000,22000,34.0826012,-118.2654475
708,"2069 Paramount Dr, Los Angeles, CA, 90068",28,6900,8900,34.1080116,-118.3405674
709,"8700 Dorrington Ave, West Hollywood, CA, 90048",42,13999,20000,34.0797682,-118.3822376
710,"233 3/4 S Gale Dr, Beverly Hills, CA, 90211",22,2850,3500,34.0626606,-118.3743225
711,"400 Huntley Dr, Los Angeles, CA, 90048",19,15500,18500,34.0796881,-118.3792766
712,"133 S Elm Dr APT L, Beverly Hills, CA, 90212",72,2025,3495,34.065954,-118.3951901
713,"138 N Hamel Dr, Beverly Hills, CA, 90211",63,9500,15500,34.0672251,-118.3812904
714,"9060 Harland Ave, West Hollywood, CA, 90069",88,8500,16000,34.0827311,-118.3889315
715,"240 El Camino Dr, Beverly Hills, CA, 90212",137,13500,32000,34.0633427,-118.3999024
716,"9297 Burton Way #B, Beverly Hills, CA, 90210",39,6995,9750,34.0726553,-118.3959314
717,"1141 Summit Dr, Beverly Hills, CA, 90210",11,175000,195000,34.0895437,-118.4202345
718,"715 N Rexford Dr, Beverly Hills, CA, 90210",46,37500,55000,34.080718,-118.4073443
719,"1070 s bedford st #405a, los angeles, CA, 90035",113,4690,10000,34.0572997,-118.3802306
720,"508 N Canon Dr, Beverly Hills, CA, 90210",50,20000,30000,34.073441,-118.4032772
721,"620 N Walden Dr, Beverly Hills, CA, 90210",11,49500,55000,34.0703402,-118.4138063
722,"2935 Westwood Blvd, Los Angeles, CA, 90064",30,4985,6485,34.0310925,-118.4217004
723,"815 N Whittier Dr, Beverly Hills, CA, 90210",132,29000,67500,34.0741375,-118.4192433
724,"4267 Marina City Dr, UNIT 102, Marina Del Rey, CA, 90292",25,5200,6500,33.98448800000001,-118.4538949
725,"4504 Cedros Ave,, Sherman Oaks,, CA, 91403",38,18000,25000,34.1532678,-118.4528329
726,"16 park avenue, Venice, CA, 90291",275,7995,30000,33.9915003,-118.4768726
727,"10798 Lindbrook Dr, Los Angeles, CA, 90024",69,14750,25000,34.0607412,-118.4398282
728,"673 Flower Ave, Venice, CA, 90291",153,4150,10500,33.9996674,-118.4693228
729,"3055 Landa St, Los Angeles, CA, 90039",33,9000,12000,34.0954998,-118.2679795
730,"1439 Cabrillo Ave, Venice, Venice, Los Angeles, CA, 90291",18,7200,8500,33.9900514,-118.4657775
731,"1524 N Sierra Bonita Ave, Los Angeles, CA, 90046",30,15000,19500,34.09889709999999,-118.3536597
732,"420 S Sunset Canyon Dr, Burbank, CA, 91501",97,7000,13800,34.1899507,-118.2925779
733,"3180 Casitas Ave, Los Angeles, CA, 90039",33,2400,3200,34.1143902,-118.2503775
734,"11410 Dona Pegita Drive, Studio City, CA, 91604",16,12000,14000,34.1309075,-118.3793432
735,"3055 Landa Street, Los Angeles, CA, 90039",33,9000,12000,34.0954998,-118.2679795
736,"644 E 97th st Apt 7, Inglewood, CA, 90301",7,1495,1600,33.9475259,-118.3446653
737,"3055 Landa St, Los Angeles, CA, 90039",33,9000,12000,34.0954998,-118.2679795
738,"6665 Franklin Ave APT 6, Los Angeles, CA, 90028",20,4000,4800,34.10548199999999,-118.3356267
739,"1140 N Clark St, Apt 209A, West Hollywood, CA, 90069",10,1810,1995,34.0919881,-118.3852869
740,"3055 Landa St, Los Angeles, CA, 90039",33,9000,12000,34.0954998,-118.2679795
741,"2315 Glendale Blvd, Los Angeles, CA, 90039",16,2400,2800,34.0977285,-118.2595037
742,"2822 Grayson Ave, Venice, CA, 90291",12,16000,18000,33.9833091,-118.4626834
743,"8911 Cynthia St Apt 10, West Hollywood, CA, 90069",16,4264,4950,34.0874504,-118.3859943
744,"undisclosed, Los Angeles, CA, 90004",76,2995,5295,34.0748887,-118.3082034
745,"600 Flower Ave, Venice, CA, 90291",27,3750,4795,33.9983097,-118.4709258
746,"16 Park Ave, Venice, CA, 90291",275,7995,30000,33.9915003,-118.4768726
747,"532 N Rossmore Ave Apt 103, Los Angeles, CA, 90004",11,2950,3300,34.0798285,-118.3268576
748,"1525 Selby Ave APT 203, Los Angeles, CA, 90024",54,2725,4200,34.0548322,-118.4377986
749,"233 3/4 S Gale Dr, Beverly Hills, CA, 90211",12,3100,3500,34.0626606,-118.3743225
750,"11863 Darlington Ave UNIT 308, Los Angeles, CA, 90049",26,5950,7500,34.0504519,-118.4673875
751,"417 1/2 S Cochran Ave, Los Angeles, CA, 90036",24,2250,2800,34.0663266,-118.3473282
752,"10501 Wilshire Blvd UNIT 1501, Los Angeles, CA, 90024",22,5700,7000,34.0641683,-118.4328117
753,"2346 Selby Ave, Los Angeles, CA, 90064",42,17900,25500,34.0429521,-118.426513
754,"5661 Spreading Oak Dr, Los Angeles, CA, 90068",26,7500,9500,34.1141021,-118.3137977
755,"523 N Rossmore Ave Apt 103, Los Angeles, CA, 90004",11,2950,3300,34.0796131,-118.327582
756,"6884 Warm Springs Ave, La Verne, CA, 91750",36,3750,5100,34.1421241,-117.7656307
757,"1524 N Sierra Bonita Ave, Los Angeles, CA, 90046",30,15000,19500,34.09889709999999,-118.3536597
758,"1036 Ruberta Ave, Glendale, CA, 91201",92,1400,2700,34.1677783,-118.2877773
759,"1016 S Wooster Apt 8, Los Angeles, CA, 90035",27,2757,3504,34.0587873,-118.3821569
760,"918 7th St, Santa Monica, CA, 90403",24,3245,4055,34.0248962,-118.4999535
761,"2822 Oak Point Dr, Los Angeles, CA, 90068",30,7850,10250,34.122031,-118.3505456
762,"412 Westminster Ave #1, Venice, CA, 90291",7,2650,2850,33.9924857,-118.4701027
763,"12530 Braddock Drive, Apt. 129, Los Angeles, CA, 90066",22,3064,3753,33.9867164,-118.422059
764,"12530 Braddock Drive, Apt. 222, Los Angeles, CA, 90066",21,3195,3890,33.9867164,-118.422059
765,"12426 Idaho Ave, Los Angeles, CA, 90025",27,14500,18500,34.0358687,-118.4642145
766,"2084 E Washington Blvd, Pasadena , CA, 91104",11,2600,2900,34.1688296,-118.1074901
767,"750  S Oxford Ave #669, Los Angeles, CA, 90005",23,3230,3996,34.0582401,-118.3075301
768,"17862 Via Vallarta, Encino, CA, 91316",20,30000,36000,34.1453704,-118.5235829
769,"10320 Newcomb Ave, Whittier, CA, 90603",32,2900,3850,33.9433941,-117.9823448
770,"1812 Navy St., Santa Monica, CA, 90405",119,12750,28000,34.0086557,-118.4604661
771,"2016 Trinity St, Los Angeles, CA, 90011",42,3500,5000,34.0271746,-118.2600856
772,"717  W OLYMPIC BLVD #1903, Los Angeles, CA, 90015",20,2472,2985,34.0450852,-118.263306
773,"336 Museum Dr, Los Angeles, CA, 90065",12,3900,4400,34.1010216,-118.2077881
774,"1224 Wesley Ave, Pasadena , CA, 91104",28,3800,4900,34.1672498,-118.1200742
775,"11908 Exposition Blvd #408, Los Angeles, CA, 90064",22,2595,3175,34.0316679,-118.4509403
776,"1017 Pearl St UNIT C, Santa Monica, CA, 90405",22,4500,5500,34.00974600000001,-118.4659576
777,"267 Barthe Dr #14, Pasadena, CA, 91103",24,2292,2850,34.1606489,-118.1560391
778,"802 N Edinburgh Ave, Los Angeles, CA, 90046",11,4500,4999,34.0856481,-118.3635564
779,"11633 Chenault St UNIT 202, Los Angeles, CA, 90049",50,4995,7500,34.0578756,-118.4665902
780,"11822 Marshall St, Los Angeles , CA, 90230",14,9200,10500,33.9931153,-118.4126706
781,"9243 Cordell Dr, Los Angeles, CA, 90069",81,16000,29000,34.0935082,-118.3934695
782,"1612 Courtney Ave, Los Angeles, CA, 90046",16,9000,10500,34.1003271,-118.3569802
783,"1525 Selby Ave APT 203, Los Angeles, CA, 90024",54,2725,4200,34.0548322,-118.4377986
784,"3464 Greenwood Abe, Los Angeles, CA, 90066",46,15000,22000,34.0066672,-118.447329
785,"380 Trousdale Pl, Beverly HIlls, CA, 90210",76,50000,88000,34.1022875,-118.3945686
786,"2470 VENUS DR , Los Angeles, CA, 90046",14,13999,15999,34.1158873,-118.3678801
787,"532 N Rossmore Ave APT 103, Los Angeles, CA, 90004",11,2950,3300,34.0798285,-118.3268576
788,"201 Ocean Ave UNIT 1702P, Santa Monica, CA, 90402",18,3800,4500,34.0262953,-118.5143015
789,"1293 Monte Cielo Dr, Beverly Hills, CA, 90210",32,29500,38950,34.1006576,-118.4076998
790,"715 N Rexford Dr, Beverly HIlls, CA, 90210",46,37500,55000,34.080718,-118.4073443
791,"695 S Santa Fe AVE #302, Los Angeles, CA, 90021",17,3931,4606,34.0353024,-118.2304031
792,"12036 Wood Ranch Rd, Granada Hills, CA, 91344",30,9950,13000,34.290546,-118.5239804
793,"800 W 1st St #3106, Los Angeles, CA, 90012",12,4900,5500,34.0564163,-118.2515352
794,"508 N Canon Dr, Beverly Hills, CA, 90210",50,20000,30000,34.073441,-118.4032772
795,"1524 N Sierra Bonita Ave, Los Angeles, CA, 90046",30,15000,19500,34.09889709999999,-118.3536597
796,"1331 N Cahuenga Blvd, unit 4701, Los Angeles, CA, 90028",11,3464,3866,34.0955406,-118.3294343
797,"2463 Treelane Ave, Monrovia, CA, 91016",45,2680,3900,34.1202077,-118.0068963
798,"1460 Parkway Dr, Rohnert Park, CA, 94928",122,449950,1000000,38.3500332,-122.6809188
799,"12426 Idaho Ave, Los Angeles, CA, 90025",27,14500,18500,34.0358687,-118.4642145
800,"2189 SUNSET PLAZA DR , Los Angeles, CA, 90069",28,35000,45000,34.1055559,-118.3858393
801,"6015 Saturn St , Los Angeles, CA, 90035",13,3000,3400,34.0509324,-118.3722411
802,"Undisclosed, Pasadena, CA, 91104",14,3500,4000,34.1657707,-118.1181199
803,"540 W Knoll Dr, West Hollywood, CA, 90048",10,9950,10950,34.0813989,-118.3773338
804,"748 N Detroit St , Los Angeles, CA, 90046",20,25000,30000,34.0848577,-118.344864
805,"323  N Flores St, Los Angeles, CA, 90048",28,20750,26750,34.0767908,-118.3713945
806,"Undisclosed, Woodland Hills, CA, 91364",15,9449,10900,34.1544724,-118.5914696
807,"9243 Cordell Dr, Los Angeles, CA, 90069",81,16000,29000,34.0935082,-118.3934695
808,"24375 Hatteras St, Woodland Hills, CA, 91367",26,6900,8750,34.1734708,-118.6559267
809,"12426 Idaho Ave, Los Angeles, CA, 90025",27,14500,18500,34.0358687,-118.4642145
810,"1745 S Barrington Ave, Los Angeles, CA, 90025",10,6000,6600,34.0401676,-118.4536328
811,"1536 Blue Jay Way , Los Angeles, CA, 90069",50,80000,120000,34.1004696,-118.3868172
812,"17862 Via Vallarta, Encino, CA, 91316",20,30000,36000,34.1453704,-118.5235829
813,"12830 Elkwood St, North Hollywood, CA, 91605",18,5500,6500,34.2118625,-118.4131897
814,"(Undisclosed Address), Van Nuys, CA, 91406",18,10950,12950,34.1985119,-118.4980744
815,"110 Box Canyon Rd, Canoga Park, CA, 91304",24,10050,12500,34.2406248,-118.6496777
816,"458 S Ramona Ave #B, Monterey Park, CA, 91754",17,1995,2350,34.05653600000001,-118.1251934
817,"2324 N Vermont Ave, Los Angeles, CA, 90027",12,17850,20000,34.112842,-118.2912252
818,"3365 Tyburn St, Los Angeles, CA, 90039",73,3750,6500,34.1177291,-118.2560146
819,"30028 Torrepines Pl, Agoura Hills, CA, 91301",15,6500,7500,34.1539655,-118.7771058
820,"6760 W Gill Way, Los Angeles, CA, 90068",43,6975,9999,34.1193679,-118.3409225
821,"629 Traction Ave, Los Angeles, CA, 90013",40,3500,4900,34.0466571,-118.236443
822,"(Undisclosed Address), Van Nuys, CA, 91406",18,10950,12950,34.1985119,-118.4980744
823,"1123 4th Ave, Los Angeles, CA, 90019",19,4200,5000,34.0506953,-118.3200988
824,"2928 Las Alturas St, Los Angeles, CA, 90068",104,12000,24500,34.1210761,-118.3488159
825,"2955 Passmore Dr, Los Angeles, CA, 90068",25,40000,50000,34.1251757,-118.3520812
826,"406 W Sierra Dr, Santa Ana, CA, 92707",76,6800,12000,33.7031817,-117.8723765
827,"23621 Dunsmore Ln, Santa Clarita, CA, 91354",21,9900,12000,34.435802,-118.5495166
828,"141 S La Peer Dr, Beverly Hills, CA, 90211",11,9000,10000,34.0656921,-118.3869384
829,"1255 Federal Ave #407 , LA, CA, 90025",15,999999,1150000,34.0490721,-118.4581907
830,"3763 Lankershim Blvd, Los Angeles, CA, 90068",27,14000,17900,34.1367806,-118.3642537
831,"1156 N. Orange Drive, Los Angeles, CA, 90038",9,6400,7000,34.0923408,-118.3414313
832,"5041 Noeline Ave, Encino, CA, 91436",38,18000,25000,34.1624578,-118.4902052
833,"8262 Woodshill Trl, Los Angeles, CA, 90069",26,22995,29150,34.0989257,-118.3688964
834,"10364 Eastborne Ave, Los Angeles, CA, 90024",80,9950,18000,34.0587246,-118.4238467
835,"173 S Alta Vista Blvd, Los Angeles, CA, 90036",13,15000,16995,34.0715009,-118.3476511
836,"5107 11th Ave, Los Angeles, CA, 90043",17,6800,8000,33.9965851,-118.3297231
837,"6740 Colgate Ave, Los Angeles, CA, 90048",53,6500,10000,34.0704094,-118.3750708
838,"4256 Rosario Rd, Woodland Hills, CA, 91364",-12,7999,6999,34.1466436,-118.5908837
